,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_80_1_02_01_03_23_3_1335y_20201023_4.jpg,2020/10/23,,3024,4032,80,,12,2,1,3,23,3,"[{'xtl': 1260, 'ytl': 812, 'xbr': 3232, 'ybr': 2368}]"
1,V006_80_1_01_01_03_23_1_9698b_20200921_35.jpg,2020/09/21,,3024,4032,80,,1,1,1,3,23,1,"[{'xtl': 784, 'ytl': 1456, 'xbr': 2676, 'ybr': 2868}]"
2,V006_80_1_02_01_03_23_3_1335y_20201023_5.jpg,2020/10/23,,3024,4032,80,,12,2,1,3,23,3,"[{'xtl': 788, 'ytl': 900, 'xbr': 3596, 'ybr': 1784}]"
3,V006_80_1_02_01_03_23_3_2370b_20201005_8.jpg,2020/10/05,,3024,4032,80,,11,2,1,3,23,3,"[{'xtl': 1502, 'ytl': 1229, 'xbr': 2657, 'ybr': 2305}]"
4,V006_80_1_02_01_04_23_3_0102r_20200918_5.jpg,2020/09/18,,2208,1656,80,,11,2,1,10,23,3,"[{'xtl': 79, 'ytl': 252, 'xbr': 1445, 'ybr': 2204}]"
5,V006_80_1_02_01_03_22_3_0729y_20200918_13.jpg,2020/09/18,,3024,4032,80,,12,2,1,3,22,3,"[{'xtl': 1068, 'ytl': 812, 'xbr': 2564, 'ybr': 1640}]"
6,V006_80_1_02_01_03_22_3_2370b_20200923_3.jpg,2020/09/23,,3024,4032,80,,11,2,1,3,22,3,"[{'xtl': 2987, 'ytl': 674, 'xbr': 4003, 'ybr': 1880}]"
7,V006_80_1_02_01_04_23_3_0325y_20201005_8.jpg,2020/10/05,,2592,4608,80,,12,2,1,4,23,3,"[{'xtl': 1624, 'ytl': 942, 'xbr': 2372, 'ybr': 1458}]"
8,V006_80_1_01_01_01_23_1_3903y_20201015_118.jpg,2020/10/15,,3480,4640,80,,1,1,1,1,23,1,"[{'xtl': 335, 'ytl': 0, 'xbr': 4035, 'ybr': 2780}]"
9,V006_80_1_02_01_05_23_3_2581b_20200917_49.jpg,2020/09/17,,2448,3264,80,,11,2,1,10,23,3,"[{'xtl': 1090, 'ytl': 962, 'xbr': 2342, 'ybr': 2394}]"
10,V006_80_1_02_01_04_23_3_2181r_20201020_31.jpg,2020/10/20,,2268,4032,80,,11,2,1,10,23,3,"[{'xtl': 3176, 'ytl': 1010, 'xbr': 4032, 'ybr': 2090}]"
11,V006_80_1_02_01_04_23_3_0325y_20201126_9.JPG,2020/11/26,,1280,1920,80,,12,2,1,4,23,3,"[{'xtl': 395, 'ytl': 380, 'xbr': 1248, 'ybr': 712}]"
12,V006_80_1_02_01_04_23_3_2186r_20200930_3.jpg,2020/09/30,,2268,4032,80,,11,2,1,4,23,3,"[{'xtl': 2208, 'ytl': 1255, 'xbr': 3117, 'ybr': 1863}]"
13,V006_80_1_02_01_04_23_3_0325y_20201126_8.JPG,2020/11/26,,1280,1920,80,,12,2,1,4,23,3,"[{'xtl': 1180, 'ytl': 0, 'xbr': 1572, 'ybr': 390}]"
14,V006_80_1_02_01_03_23_3_4596y_20201103_1.jpg,2020/11/03,,2992,2992,80,,12,2,1,3,23,3,"[{'xtl': 1268, 'ytl': 1556, 'xbr': 1604, 'ybr': 1844}]"
15,V006_80_1_02_01_04_22_3_0729y_20200923_11.jpg,2020/09/23,,3024,4032,80,,12,2,1,4,22,3,"[{'xtl': 1648, 'ytl': 1652, 'xbr': 2488, 'ybr': 2340}]"
16,V006_80_1_02_01_04_23_3_0325y_20201008_3.jpg,2020/10/08,,2992,2992,80,,12,2,1,4,23,3,"[{'xtl': 1332, 'ytl': 634, 'xbr': 2012, 'ybr': 2378}]"
17,V006_80_1_01_01_03_23_1_6743y_20201116_16.jpg,2020/11/16,,2448,3264,80,,1,1,1,3,23,1,"[{'xtl': 698, 'ytl': 467, 'xbr': 3060, 'ybr': 2173}]"
18,V006_80_1_02_01_04_23_3_3162y_20201117_2.jpg,2020/11/17,,2592,4608,80,,12,2,1,4,23,3,"[{'xtl': 674, 'ytl': 190, 'xbr': 1959, 'ybr': 1283}]"
19,V006_80_1_02_01_04_23_3_0325y_20201008_2.jpg,2020/10/08,,2992,2992,80,,12,2,1,4,23,3,"[{'xtl': 1436, 'ytl': 1038, 'xbr': 2220, 'ybr': 1862}]"
20,V006_80_1_02_01_04_23_3_3162y_20201117_3.jpg,2020/11/17,,2592,4608,80,,12,2,1,4,23,3,"[{'xtl': 1759, 'ytl': 914, 'xbr': 2392, 'ybr': 1799}]"
21,V006_80_1_01_01_03_23_1_6743y_20201116_17.jpg,2020/11/16,,2448,3264,80,,1,1,1,3,23,1,"[{'xtl': 585, 'ytl': 500, 'xbr': 2899, 'ybr': 1821}]"
22,V006_80_1_02_01_03_23_3_0325y_20201118_6.jpg,2020/11/18,,2992,2992,80,,12,2,1,3,23,3,"[{'xtl': 312, 'ytl': 798, 'xbr': 1280, 'ybr': 1618}]"
23,V006_80_1_02_01_04_23_3_2181r_20201111_53.jpg,2020/11/11,,2268,4032,80,,11,2,1,3,23,3,"[{'xtl': 2502, 'ytl': 721, 'xbr': 3271, 'ybr': 1348}]"
24,V006_80_1_01_01_03_23_1_3903y_20201127_6.jpg,2020/11/27,,2448,3264,80,,1,1,1,3,23,1,"[{'xtl': 223, 'ytl': 250, 'xbr': 2788, 'ybr': 1880}]"
25,V006_80_1_02_01_03_23_3_9177r_20201101_4.jpg,2020/11/01,,2268,4032,80,,11,2,1,3,23,3,"[{'xtl': 973, 'ytl': 925, 'xbr': 1746, 'ybr': 1392}]"
26,V006_80_1_02_01_01_22_3_0729y_20200923_9.jpg,2020/09/23,,3024,4032,80,,12,2,1,1,22,3,"[{'xtl': 1652, 'ytl': 1196, 'xbr': 2336, 'ybr': 1812}]"
27,V006_80_1_02_01_03_22_3_2370b_20200918_26.JPG,2020/09/18,,1280,1920,80,,11,2,1,3,22,3,"[{'xtl': 893, 'ytl': 376, 'xbr': 1305, 'ybr': 888}]"
28,V006_80_1_02_01_03_22_3_2370b_20200918_27.JPG,2020/09/18,,1280,1920,80,,11,2,1,3,22,3,"[{'xtl': 862, 'ytl': 670, 'xbr': 1342, 'ybr': 968}]"
29,V006_80_1_02_01_03_23_3_0548r_20201003_18.jpg,2020/10/03,,2268,4032,80,,11,2,1,11,23,3,"[{'xtl': 756, 'ytl': 54, 'xbr': 3676, 'ybr': 2211}]"
30,V006_80_1_02_01_03_22_2_9177r_20200917_17.JPG,2020/09/17,,1280,1920,80,,11,2,1,3,22,2,"[{'xtl': 159, 'ytl': 572, 'xbr': 379, 'ybr': 770}]"
31,V006_80_1_02_01_01_23_3_2581b_20201115_14.jpg,2020/11/15,,2208,1656,80,,10,2,1,1,23,3,"[{'xtl': 64, 'ytl': 654, 'xbr': 1211, 'ybr': 1724}]"
32,V006_80_1_01_01_03_23_1_9698b_20200924_61.jpg,2020/09/24,,3480,4640,80,,1,1,1,3,23,1,"[{'xtl': 65, 'ytl': 110, 'xbr': 4640, 'ybr': 3480}]"
33,V006_80_1_02_01_04_23_3_4142r_20201125_2.jpg,2020/11/25,,3024,4032,80,,11,2,1,11,23,3,"[{'xtl': 384, 'ytl': 993, 'xbr': 2361, 'ybr': 1653}]"
34,V006_80_1_01_01_01_23_1_9698b_20201016_139.jpg,2020/10/16,,3480,4640,80,,1,1,1,1,23,1,"[{'xtl': 455, 'ytl': 545, 'xbr': 3670, 'ybr': 3480}]"
35,V006_80_1_01_01_03_23_1_9698b_20200924_60.jpg,2020/09/24,,3480,4640,80,,1,1,1,3,23,1,"[{'xtl': 0, 'ytl': 153, 'xbr': 4249, 'ybr': 3480}]"
36,V006_80_1_02_01_03_22_2_9177r_20200917_16.JPG,2020/09/17,,1280,1920,80,,11,2,1,3,22,2,"[{'xtl': 924, 'ytl': 193, 'xbr': 1206, 'ybr': 552}]"
37,V006_80_1_02_01_03_23_3_0548r_20201003_19.jpg,2020/10/03,,2268,4032,80,,11,2,1,10,23,3,"[{'xtl': 424, 'ytl': 208, 'xbr': 1666, 'ybr': 906}]"
38,V006_80_1_01_01_03_23_2_6743y_20201007_81.jpg,2020/10/07,,3480,4640,80,,1,1,1,3,23,2,"[{'xtl': 0, 'ytl': 12, 'xbr': 4640, 'ybr': 2937}]"
39,V006_80_1_02_01_04_23_3_4142r_20200916_22.jpg,2020/09/16,,1280,1920,80,,11,2,1,5,23,3,"[{'xtl': 1120, 'ytl': 260, 'xbr': 1394, 'ybr': 584}]"
40,V006_80_1_02_01_03_23_3_2370b_20201110_1.jpg,2020/11/10,,3024,4032,80,,11,2,1,3,23,3,"[{'xtl': 1312, 'ytl': 429, 'xbr': 2842, 'ybr': 2840}]"
41,V006_80_1_02_01_04_23_3_2181r_20201121_63.jpg,2020/11/21,,2268,4032,80,,11,2,1,3,23,3,"[{'xtl': 2074, 'ytl': 644, 'xbr': 3128, 'ybr': 1400}]"
42,V006_80_1_02_01_04_23_3_1335y_20201112_7.jpg,2020/11/12,,3024,4032,80,,12,2,1,4,23,3,"[{'xtl': 1654, 'ytl': 1104, 'xbr': 3410, 'ybr': 2404}]"
43,V006_80_1_02_01_04_23_3_2186r_20201110_1.jpg,2020/11/10,,2268,4032,80,,11,2,1,4,23,3,"[{'xtl': 602, 'ytl': 578, 'xbr': 1415, 'ybr': 935}]"
44,V006_80_1_02_01_03_23_3_2581b_20200918_28.jpg,2020/09/18,,2208,1656,80,,11,2,1,3,23,3,"[{'xtl': 741, 'ytl': 38, 'xbr': 1059, 'ybr': 726}]"
45,V006_80_1_02_01_03_23_3_4142r_20200917_2.jpg,2020/09/17,,1440,2560,80,,11,4,2,10,23,3,"[{'xtl': 840, 'ytl': 229, 'xbr': 1580, 'ybr': 777}]"
46,V006_80_1_01_01_03_23_2_5720y_20200916_6.jpg,2020/09/16,,2448,3264,80,,1,1,1,3,23,2,"[{'xtl': 114, 'ytl': 200, 'xbr': 3237, 'ybr': 2178}]"
47,V006_80_1_02_01_04_23_3_2581b_20201115_3.jpg,2020/11/15,,2208,1656,80,,10,2,1,4,23,3,"[{'xtl': 428, 'ytl': 207, 'xbr': 1381, 'ybr': 1954}]"
48,V006_80_1_02_01_04_23_3_1335y_20200928_1.jpg,2020/09/28,,3024,4032,80,,12,2,1,4,23,3,"[{'xtl': 724, 'ytl': 1244, 'xbr': 2804, 'ybr': 2372}]"
49,V006_80_1_01_01_03_23_1_1483y_20200923_51.jpg,2020/09/23,,3480,4640,80,,1,1,1,3,23,1,"[{'xtl': 0, 'ytl': 685, 'xbr': 4640, 'ybr': 3465}]"
50,V006_80_1_01_01_03_23_1_1483y_20200923_50.jpg,2020/09/23,,3480,4640,80,,1,1,1,9,23,1,"[{'xtl': 90, 'ytl': 15, 'xbr': 4640, 'ybr': 3045}]"
51,V006_80_1_02_01_03_23_3_0325y_20201123_12.jpg,2020/11/23,,2592,4608,80,,12,2,1,3,23,3,"[{'xtl': 2368, 'ytl': 1282, 'xbr': 3384, 'ybr': 2290}]"
52,V006_80_1_02_01_03_23_3_0325y_20201123_13.jpg,2020/11/23,,2592,4608,80,,12,2,1,3,23,3,"[{'xtl': 2120, 'ytl': 1642, 'xbr': 2832, 'ybr': 2294}]"
53,V006_80_1_02_01_04_23_3_0729y_20201126_7.jpg,2020/11/26,,3024,4032,80,,12,2,1,4,23,3,"[{'xtl': 364, 'ytl': 1496, 'xbr': 1780, 'ybr': 1612}]"
54,V006_80_1_02_01_03_22_3_9597y_20200922_5.jpg,2020/09/22,,3024,4032,80,,12,2,1,3,22,3,"[{'xtl': 996, 'ytl': 1048, 'xbr': 1824, 'ybr': 1556}]"
55,V006_80_1_02_01_03_23_3_0548r_20200926_10.jpg,2020/09/26,,1960,4032,80,,11,2,1,10,23,2,"[{'xtl': 770, 'ytl': 57, 'xbr': 4013, 'ybr': 1801}]"
56,V006_80_1_02_01_03_23_3_0548r_20201009_2.jpg,2020/10/09,,2268,4032,80,,11,2,1,11,23,3,"[{'xtl': 1243, 'ytl': 752, 'xbr': 2364, 'ybr': 1572}]"
57,V006_80_1_02_01_04_23_3_0729y_20201005_7.jpg,2020/10/05,,3024,4032,80,,12,2,1,4,23,3,"[{'xtl': 2216, 'ytl': 1660, 'xbr': 3176, 'ybr': 2072}]"
58,V006_80_1_01_01_03_23_1_1483y_20200916_1.jpg,2020/09/16,,2448,3264,80,,1,1,1,9,23,1,"[{'xtl': 0, 'ytl': 28, 'xbr': 2734, 'ybr': 2438}]"
59,V006_80_1_01_01_03_23_1_1483y_20201029_273.jpg,2020/10/29,,3480,4640,80,,1,1,1,9,23,1,"[{'xtl': 78, 'ytl': 31, 'xbr': 4608, 'ybr': 3480}]"
60,V006_80_1_02_01_04_22_3_4596y_20200924_12.jpg,2020/09/24,,2592,4608,80,,12,2,1,3,22,3,"[{'xtl': 1857, 'ytl': 1216, 'xbr': 1937, 'ybr': 1289}]"
61,V006_80_1_02_01_04_23_2_2186r_20201108_6.jpg,2020/11/08,,2268,4032,80,,11,2,1,4,23,2,"[{'xtl': 754, 'ytl': 486, 'xbr': 2576, 'ybr': 1343}]"
62,V006_80_1_02_01_03_23_3_2370b_20201002_5.jpg,2020/10/02,,3024,4032,80,,11,2,1,3,23,3,"[{'xtl': 2592, 'ytl': 834, 'xbr': 3522, 'ybr': 2040}]"
63,V006_80_1_02_01_03_22_3_0325y_20200916_2.jpg,2020/09/16,,2992,2992,80,,12,2,1,3,22,3,"[{'xtl': 1519, 'ytl': 1053, 'xbr': 2221, 'ybr': 1624}]"
64,V006_80_1_02_01_03_22_3_0325y_20200916_3.jpg,2020/09/16,,2268,4032,80,,12,2,1,3,22,3,"[{'xtl': 164, 'ytl': 1736, 'xbr': 355, 'ybr': 1836}]"
65,V006_80_1_01_01_03_23_1_6743y_20201113_7.jpg,2020/11/13,,2448,3264,80,,1,1,1,3,23,1,"[{'xtl': 287, 'ytl': 431, 'xbr': 3009, 'ybr': 2053}]"
66,V006_80_1_02_01_04_23_3_0548r_20200918_31.jpg,2020/09/18,,2208,1656,80,,11,2,1,10,23,3,"[{'xtl': 693, 'ytl': 111, 'xbr': 1656, 'ybr': 2151}]"
67,V006_80_1_02_01_03_23_3_3725y_20201015_1.jpg,2020/10/15,,3024,4032,80,,12,2,1,3,23,3,"[{'xtl': 1342, 'ytl': 178, 'xbr': 2222, 'ybr': 1398}]"
68,V006_80_1_02_01_03_23_3_0729y_20201106_10.jpg,2020/11/06,,3024,4032,80,,12,2,1,3,23,3,"[{'xtl': 1929, 'ytl': 256, 'xbr': 2964, 'ybr': 792}]"
69,V006_80_1_02_01_03_23_3_0325y_20201030_8.jpg,2020/10/30,,2992,2992,80,,12,2,1,3,23,3,"[{'xtl': 724, 'ytl': 576, 'xbr': 2164, 'ybr': 1736}]"
70,V006_80_1_02_01_04_23_3_0548r_20200918_30.jpg,2020/09/18,,2208,1656,80,,11,2,1,10,23,3,"[{'xtl': 178, 'ytl': 126, 'xbr': 1213, 'ybr': 1921}]"
71,V006_80_1_01_01_03_23_1_6743y_20201113_6.jpg,2020/11/13,,2448,3264,80,,1,1,1,3,23,1,"[{'xtl': 440, 'ytl': 249, 'xbr': 3100, 'ybr': 1737}]"
72,V006_80_1_01_01_03_23_2_6743y_20201028_264.jpg,2020/10/28,,2448,3264,80,,1,1,1,3,23,2,"[{'xtl': 592, 'ytl': 530, 'xbr': 2656, 'ybr': 2448}]"
73,V006_80_1_02_01_04_23_3_3725y_20201102_14.jpg,2020/11/02,,3024,4032,80,,12,2,1,4,23,3,"[{'xtl': 160, 'ytl': 1584, 'xbr': 2984, 'ybr': 2668}]"
74,V006_80_1_02_01_03_23_3_0729y_20201106_11.jpg,2020/11/06,,3024,4032,80,,12,2,1,3,23,3,"[{'xtl': 2581, 'ytl': 864, 'xbr': 3337, 'ybr': 1424}]"
75,V006_80_1_02_01_03_23_3_0325y_20201030_9.jpg,2020/10/30,,2992,2992,80,,12,2,1,3,23,3,"[{'xtl': 896, 'ytl': 752, 'xbr': 1964, 'ybr': 1484}]"
76,V006_80_1_02_01_04_23_3_1335y_20201119_9.jpg,2020/11/19,,3024,4032,80,,12,2,1,4,23,3,"[{'xtl': 192, 'ytl': 881, 'xbr': 1980, 'ybr': 1521}]"
