,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_80_1_05_02_04_22_2_5790y_20201013_1.jpg,2020/10/13,,3024,4032,80,,7,5,2,5,22,2,"[{'xtl': 1327, 'ytl': 1377, 'xbr': 2660, 'ybr': 1792}]"
1,V006_80_1_05_02_04_22_2_1905y_20201011_53.jpg,2020/10/11,,3024,4032,80,,7,5,2,5,22,2,"[{'xtl': 604, 'ytl': 516, 'xbr': 3244, 'ybr': 2380}]"
2,V006_80_1_07_02_01_23_2_1655w_20201009_23.JPG,2020/10/09,,3096,4128,80,,6,7,2,1,23,2,"[{'xtl': 1072, 'ytl': 296, 'xbr': 3972, 'ybr': 2816}]"
3,V006_80_1_04_02_03_23_3_2181r_20201102_44.jpg,2020/11/02,,2206,1654,80,,8,4,2,3,23,3,"[{'xtl': 552, 'ytl': 803, 'xbr': 916, 'ybr': 1605}]"
4,V006_80_1_06_02_03_23_3_5390y_20201111_6.jpg,2020/11/11,,2448,3264,80,,2,6,2,3,23,3,"[{'xtl': 1135, 'ytl': 460, 'xbr': 2464, 'ybr': 1830}]"
5,V006_80_1_07_02_01_23_2_4498w_20201026_15.JPG,2020/10/26,,3096,4128,80,,5,7,2,1,23,2,"[{'xtl': 1024, 'ytl': 392, 'xbr': 3140, 'ybr': 2516}]"
6,V006_80_1_04_02_03_23_3_2370b_20201115_6.jpg,2020/11/15,,2268,4032,80,,8,4,2,3,23,3,"[{'xtl': 2748, 'ytl': 152, 'xbr': 3858, 'ybr': 999}]"
7,V006_80_1_03_02_03_22_2_5850t_20201015_206.JPG,2020/10/15,,4640,6960,80,,7,3,2,3,22,2,"[{'xtl': 2879, 'ytl': 1377, 'xbr': 4238, 'ybr': 3694}]"
8,V006_80_1_04_02_04_23_3_4142r_20201120_4.jpg,2020/11/20,,3024,4032,80,,8,4,2,3,22,3,"[{'xtl': 5, 'ytl': 0, 'xbr': 3363, 'ybr': 3024}]"
9,V006_80_1_07_02_01_23_2_5722b_20200928_17.jpg,2020/09/28,,3096,4128,80,,3,7,2,1,23,2,"[{'xtl': 1296, 'ytl': 924, 'xbr': 2656, 'ybr': 2288}]"
10,V006_80_1_07_02_01_23_2_1655w_20201009_22.JPG,2020/10/09,,3096,4128,80,,6,7,2,1,23,2,"[{'xtl': 964, 'ytl': 276, 'xbr': 3644, 'ybr': 2792}]"
11,V006_80_1_03_02_03_22_2_5850t_20201012_169.JPG,2020/10/12,,2592,3888,80,,7,3,2,3,22,2,"[{'xtl': 694, 'ytl': 150, 'xbr': 3830, 'ybr': 1822}]"
12,V006_80_1_04_02_03_23_2_4299e_20201028_9.png,2020/10/28,,2268,4032,80,,8,4,2,3,23,2,"[{'xtl': 933, 'ytl': 736, 'xbr': 1896, 'ybr': 1828}]"
13,V006_80_1_07_02_01_23_2_4498w_20201026_14.JPG,2020/10/26,,2448,3264,80,,5,7,2,1,23,2,"[{'xtl': 1249, 'ytl': 295, 'xbr': 2597, 'ybr': 1689}]"
14,V006_80_1_03_02_03_22_2_0093w_20201027_18.jpg,2020/10/27,,3024,4032,80,,6,3,2,3,22,2,"[{'xtl': 461, 'ytl': 632, 'xbr': 3321, 'ybr': 2742}]"
15,V006_80_1_03_02_03_22_2_5850t_20201015_207.JPG,2020/10/15,,4640,6960,80,,7,3,2,3,22,2,"[{'xtl': 2940, 'ytl': 1343, 'xbr': 4292, 'ybr': 3660}]"
16,V006_80_1_07_02_01_23_2_3254y_20201106_7.JPG,2020/11/06,,4640,6960,80,,6,7,2,1,23,2,"[{'xtl': 1760, 'ytl': 500, 'xbr': 5326, 'ybr': 4093}]"
17,V006_80_1_06_02_03_23_2_5390y_20201021_177.jpg,2020/10/21,,1440,2560,80,,2,6,2,3,23,2,"[{'xtl': 274, 'ytl': 177, 'xbr': 1832, 'ybr': 1325}]"
18,V006_80_1_03_02_03_22_2_0103t_20201016_19.JPG,2020/10/16,,3024,4032,80,,7,3,2,3,22,2,"[{'xtl': 616, 'ytl': 671, 'xbr': 3106, 'ybr': 2711}]"
19,V006_80_1_04_02_03_23_2_8481y_20201005_10.png,2020/10/05,,3024,4032,80,,8,4,2,3,23,2,"[{'xtl': 1283, 'ytl': 1360, 'xbr': 2735, 'ybr': 2336}]"
20,V006_80_1_06_02_03_22_2_5009y_20201027_143.jpg,2020/10/27,,2448,3264,80,,2,6,2,3,22,2,"[{'xtl': 312, 'ytl': 711, 'xbr': 2872, 'ybr': 2021}]"
21,V006_80_1_07_02_01_23_2_6319b_20201125_1.jpg,2020/11/25,,3096,4128,80,,4,7,2,1,23,2,"[{'xtl': 1488, 'ytl': 888, 'xbr': 2900, 'ybr': 2276}]"
22,V006_80_1_03_02_03_22_2_8500y_20200916_09.jpg,2020/09/16,,3024,4032,80,,5,3,2,3,22,2,"[{'xtl': 436, 'ytl': 535, 'xbr': 3462, 'ybr': 2622}]"
23,V006_80_1_03_02_03_22_2_8500y_20201019_69.jpg,2020/10/19,,4240,4240,80,,7,3,2,3,22,2,"[{'xtl': 1390, 'ytl': 1905, 'xbr': 2170, 'ybr': 3105}]"
24,V006_80_1_05_02_04_22_2_1905y_20201028_20.JPG,2020/10/28,,4640,6960,80,,4,5,2,5,22,2,"[{'xtl': 2553, 'ytl': 1758, 'xbr': 4633, 'ybr': 2785}]"
25,V006_80_1_07_02_01_23_2_4498w_20201015_17.JPG,2020/10/15,,3096,4128,80,,,7,2,,23,2,"[{'xtl': 1061, 'ytl': 428, 'xbr': 3473, 'ybr': 2720}]"
26,V006_80_1_04_02_03_23_2_4299q_20201104_5.png,2020/11/04,,4032,2268,80,,8,4,2,3,23,2,"[{'xtl': 239, 'ytl': 724, 'xbr': 823, 'ybr': 1304}]"
27,V006_80_1_04_02_03_23_3_2370b_20201103_1.jpg,2020/11/03,,2268,4032,80,,9,4,2,3,23,3,"[{'xtl': 1121, 'ytl': 276, 'xbr': 1781, 'ybr': 856}]"
28,V006_80_1_06_02_03_23_3_0529y_20201016_86.jpg,2020/10/16,,1440,2560,80,,2,6,2,3,23,3,"[{'xtl': 376, 'ytl': 315, 'xbr': 1960, 'ybr': 1335}]"
29,V006_80_1_03_02_03_22_2_8500y_20200916_08.jpg,2020/09/16,,3024,4032,80,,5,3,2,3,22,2,"[{'xtl': 569, 'ytl': 736, 'xbr': 3596, 'ybr': 2429}]"
30,V006_80_1_04_02_03_23_3_2370b_20201122_6.jpg,2020/11/22,,2592,4608,80,,9,4,2,3,23,3,"[{'xtl': 2291, 'ytl': 1106, 'xbr': 2755, 'ybr': 1438}]"
31,V006_80_1_07_02_01_23_2_3254y_20201110_1.JPG,2020/11/10,,2592,3888,80,,5,7,2,1,23,2,"[{'xtl': 1444, 'ytl': 922, 'xbr': 2350, 'ybr': 1732}]"
32,V006_80_1_03_02_03_22_2_0103t_20201103_1.JPG,2020/11/03,,4640,6960,80,,7,3,2,3,22,2,"[{'xtl': 2966, 'ytl': 2100, 'xbr': 4253, 'ybr': 2973}]"
33,V006_80_1_06_02_03_21_2_5009y_20201023_122.jpg,2020/10/23,,3024,4032,80,,2,6,2,3,21,2,"[{'xtl': 702, 'ytl': 622, 'xbr': 4032, 'ybr': 2102}]"
34,V006_80_1_04_02_03_23_2_4299q_20201125_3.png,2020/11/25,,2208,1656,80,,8,4,2,3,23,2,"[{'xtl': 970, 'ytl': 1088, 'xbr': 1310, 'ybr': 1612}]"
35,V006_80_1_06_02_03_23_2_4147y_20201014_98.jpg,2020/10/14,,3024,4032,80,,2,6,2,3,23,2,"[{'xtl': 516, 'ytl': 580, 'xbr': 3480, 'ybr': 2640}]"
36,V006_80_1_07_02_01_23_2_4498w_20201015_16.JPG,2020/10/15,,3096,4128,80,,,7,2,,23,2,"[{'xtl': 1165, 'ytl': 112, 'xbr': 4045, 'ybr': 2744}]"
37,V006_80_1_03_02_03_22_2_5850t_20201107_13.JPG,2020/11/07,,2592,3888,80,,7,3,2,3,22,2,"[{'xtl': 1607, 'ytl': 736, 'xbr': 2384, 'ybr': 1962}]"
38,V006_80_1_06_02_03_23_3_3463y_20201106_10.jpg,2020/11/06,,3024,4032,80,,2,6,2,3,23,3,"[{'xtl': 900, 'ytl': 768, 'xbr': 3360, 'ybr': 2248}]"
39,V006_80_1_07_02_01_23_2_6319b_20201019_16.jpg,2020/10/19,,623,668,80,,6,7,2,1,23,2,"[{'xtl': 69, 'ytl': 100, 'xbr': 556, 'ybr': 583}]"
40,V006_80_1_03_02_03_22_2_0103t_20201002_10.jpg,2020/10/02,,3024,4032,80,,7,3,2,3,22,2,"[{'xtl': 192, 'ytl': 116, 'xbr': 3882, 'ybr': 2316}]"
41,V006_80_1_05_02_04_22_2_3372y_20201016_34.JPG,2020/10/16,,3024,4032,80,,7,5,2,5,22,2,"[{'xtl': 172, 'ytl': 80, 'xbr': 3808, 'ybr': 2852}]"
42,V006_80_1_03_02_03_22_2_0103t_20201001_7.jpg,2020/10/01,,3024,4032,80,,7,3,2,3,22,2,"[{'xtl': 532, 'ytl': 536, 'xbr': 3892, 'ybr': 2406}]"
