,image,date,worker,height,width,task,type,region,disease,crop,area,grow,risk,points
0,V006_80_0_00_01_05_25_0_c32_20201021_0050_S01_1.jpg,2020/10/21,,3024,4032,80,0,,0,1,5,25,0,"[{'xtl': 1452, 'ytl': 1127, 'xbr': 3454, 'ybr': 2046}]"
1,V006_80_0_00_01_05_25_0_c32_20201021_0045_S01_1.jpg,2020/10/21,,3024,4032,80,0,,0,1,5,25,0,"[{'xtl': 1386, 'ytl': 765, 'xbr': 2172, 'ybr': 1676}]"
2,V006_80_0_00_01_04_26_0_b06_20201105_0001_S01_1.jpg,2020/11/05,,4640,2196,80,0,,0,1,4,26,0,"[{'xtl': 1202, 'ytl': 1249, 'xbr': 1454, 'ybr': 4402}]"
3,V006_80_0_00_01_04_26_0_b06_20201105_0014_S01_1.jpg,2020/11/05,,4640,2196,80,0,,0,1,4,26,0,"[{'xtl': 827, 'ytl': 0, 'xbr': 2037, 'ybr': 3440}]"
4,V006_80_0_00_01_05_26_0_c31_20201216_0685_S01_1.jpg,2020/12/16,,4032,2268,80,0,,0,1,5,26,0,"[{'xtl': 878, 'ytl': 1951, 'xbr': 1786, 'ybr': 3133}]"
5,V006_80_0_00_01_05_26_0_c31_20201215_0313_S01_1.jpg,2020/12/15,,4032,3024,80,0,,0,1,5,26,0,"[{'xtl': 1320, 'ytl': 2728, 'xbr': 1928, 'ybr': 4032}]"
6,V006_80_0_00_01_03_25_0_b06_20201016_0014_S01_1.jpg,2020/10/16,,2196,4640,80,0,,0,1,3,25,0,"[{'xtl': 1175, 'ytl': 565, 'xbr': 2900, 'ybr': 1875}]"
7,V006_80_0_00_01_04_25_0_c06_20201020_0292_S01_1.jpg,2020/10/20,,3024,3024,80,0,,0,1,4,25,0,"[{'xtl': 1367, 'ytl': 0, 'xbr': 2253, 'ybr': 1747}]"
8,V006_80_0_00_01_04_25_0_c06_20201020_0287_S01_1.jpg,2020/10/20,,3024,3024,80,0,,0,1,4,25,0,"[{'xtl': 810, 'ytl': 1014, 'xbr': 3024, 'ybr': 3024}]"
9,V006_80_0_00_01_03_25_0_c14_20201106_0009_S01_1.jpg,2020/11/06,,960,720,80,0,,0,1,3,25,0,"[{'xtl': 0, 'ytl': 0, 'xbr': 605, 'ybr': 923}]"
10,V006_80_0_00_01_05_25_0_c06_20201029_0362_S01_1.jpg,2020/10/29,,3024,3024,80,0,,0,1,5,25,0,"[{'xtl': 1362, 'ytl': 1219, 'xbr': 3017, 'ybr': 2229}]"
11,V006_80_0_00_01_04_26_0_c31_20201203_0454_S01_1.jpg,2020/12/03,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 82, 'ytl': 671, 'xbr': 502, 'ybr': 1279}]"
12,V006_80_0_00_01_04_26_0_c31_20201203_0441_S01_1.jpg,2020/12/03,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 1447, 'ytl': 483, 'xbr': 1850, 'ybr': 1617}]"
13,V006_80_0_00_01_04_25_0_c01_20201020_0105_S01_1.jpg,2020/10/20,,2268,4032,80,0,,0,1,4,25,0,"[{'xtl': 5, 'ytl': 1074, 'xbr': 4032, 'ybr': 1690}]"
14,V006_80_0_00_01_04_25_0_c01_20201020_0110_S01_1.jpg,2020/10/20,,2268,4032,80,0,,0,1,4,25,0,"[{'xtl': 0, 'ytl': 598, 'xbr': 4028, 'ybr': 1170}]"
15,V006_80_0_00_01_04_26_0_c32_20201215_0808_S01_1.jpg,2020/12/15,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 1549, 'ytl': 1922, 'xbr': 2580, 'ybr': 3151}]"
16,V006_80_0_00_01_05_25_0_c06_20201026_0132_S01_1.jpg,2020/10/26,,3024,3024,80,0,,0,1,5,25,0,"[{'xtl': 0, 'ytl': 830, 'xbr': 3024, 'ybr': 2907}]"
17,V006_80_0_00_01_05_25_0_c06_20201026_0127_S01_1.jpg,2020/10/26,,3024,3024,80,0,,0,1,5,25,0,"[{'xtl': 0, 'ytl': 810, 'xbr': 3024, 'ybr': 2376}]"
18,V006_80_0_00_01_04_25_0_c13_20201026_0024_S01_1.jpg,2020/10/26,,3024,4032,80,0,,0,1,4,25,0,"[{'xtl': 0, 'ytl': 1042, 'xbr': 4032, 'ybr': 1695}]"
19,V006_80_0_00_01_03_25_0_c12_20201030_0008_S01_1.JPG,2020/10/30,,3024,4032,80,0,,0,1,3,25,0,"[{'xtl': 902, 'ytl': 900, 'xbr': 3198, 'ybr': 2335}]"
20,V006_80_0_00_01_04_25_0_c13_20201026_0031_S01_1.jpg,2020/10/26,,3024,4032,80,0,,0,1,4,25,0,"[{'xtl': 0, 'ytl': 1169, 'xbr': 4032, 'ybr': 1822}]"
21,V006_80_0_00_01_03_25_0_c06_20201028_0299_S01_1.jpg,2020/10/28,,3024,3024,80,0,,0,1,3,25,0,"[{'xtl': 400, 'ytl': 750, 'xbr': 2292, 'ybr': 2850}]"
22,V006_80_0_00_01_04_26_0_c31_20201123_0052_S01_1.jpg,2020/11/23,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 1133, 'ytl': 0, 'xbr': 1913, 'ybr': 3964}]"
23,V006_80_0_00_01_05_25_0_c16_20201106_0021_S01_1.JPG,2020/11/06,,3024,4032,80,0,,0,1,5,25,0,"[{'xtl': 0, 'ytl': 488, 'xbr': 4032, 'ybr': 2484}]"
24,V006_80_0_00_01_04_26_0_c31_20201123_0047_S01_1.jpg,2020/11/23,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 623, 'ytl': 0, 'xbr': 2463, 'ybr': 3488}]"
25,V006_80_0_00_01_04_25_0_c12_20201026_0091_S01_1.JPG,2020/10/26,,3024,4032,80,0,,0,1,4,25,0,"[{'xtl': 610, 'ytl': 1506, 'xbr': 2431, 'ybr': 2218}]"
26,V006_80_0_00_01_04_26_0_c32_20201217_0056_S01_1.jpg,2020/12/17,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 1474, 'ytl': 1484, 'xbr': 2111, 'ybr': 2724}]"
27,V006_80_0_00_01_05_25_0_c13_20201020_0384_S01_1.jpg,2020/10/20,,3024,4032,80,0,,0,1,5,25,0,"[{'xtl': 507, 'ytl': 902, 'xbr': 4032, 'ybr': 2495}]"
28,V006_80_0_00_01_05_25_0_c13_20201020_0391_S01_1.jpg,2020/10/20,,3024,4032,80,0,,0,1,5,25,0,"[{'xtl': 679, 'ytl': 812, 'xbr': 4032, 'ybr': 2292}]"
29,V006_80_0_00_01_04_25_0_c12_20201026_0084_S01_1.JPG,2020/10/26,,3024,4032,80,0,,0,1,4,25,0,"[{'xtl': 0, 'ytl': 391, 'xbr': 4032, 'ybr': 2371}]"
30,V006_80_0_00_01_04_26_0_c32_20201217_0043_S01_1.jpg,2020/12/17,,4032,3024,80,0,,0,1,4,26,0,"[{'xtl': 1066, 'ytl': 1725, 'xbr': 1672, 'ybr': 3114}]"
31,V006_80_0_00_01_03_25_0_c13_20201029_0057_S01_1.jpg,2020/10/29,,3024,4032,80,0,,0,1,3,25,0,"[{'xtl': 1415, 'ytl': 362, 'xbr': 3652, 'ybr': 2605}]"
32,V006_80_0_00_01_03_25_0_c13_20201029_0042_S01_1.jpg,2020/10/29,,3024,4032,80,0,,0,1,3,25,0,"[{'xtl': 639, 'ytl': 290, 'xbr': 4032, 'ybr': 2353}]"
33,V006_80_0_00_01_03_25_0_c13_20201026_0207_S01_1.jpg,2020/10/26,,3024,4032,80,0,,0,1,3,25,0,"[{'xtl': 37, 'ytl': 0, 'xbr': 3740, 'ybr': 2232}]"
34,V006_80_0_00_01_03_25_0_c13_20201026_0212_S01_1.jpg,2020/10/26,,3024,4032,80,0,,0,1,3,25,0,"[{'xtl': 811, 'ytl': 0, 'xbr': 3862, 'ybr': 2868}]"
35,V006_80_0_00_01_04_25_0_c13_20201020_0025_S01_1.jpg,2020/10/20,,3024,4032,80,0,,0,1,4,25,1,"[{'xtl': 1051, 'ytl': 1183, 'xbr': 2051, 'ybr': 1321}]"
36,V006_80_0_00_01_04_25_0_c13_20201020_0030_S01_1.jpg,2020/10/20,,3024,4032,80,0,,0,1,4,25,0,"[{'xtl': 2339, 'ytl': 1192, 'xbr': 3468, 'ybr': 1850}]"
